Timestamp,Ability,Wait Time-E8S
-12,Riddle Of Earth,
-5,True North,7
00:43.0,True North,48
00:49.0,Riddle Of Earth,6
00:50.0,Feint,1
00:51.0,Mantra,1
01:53.0,Riddle Of Earth,62
02:05.0,True North,12
02:22.0,Mantra,17
02:40.0,Feint,18
03:01.0,True North,21
03:21.0,Riddle Of Earth,20
04:16.0,Mantra,55
05:59.0,Riddle Of Earth,103
06:00.0,Mantra,1
06:39.0,True North,39
06:54.0,Feint,15
07:00.0,Riddle Of Earth,6
07:55.0,True North,55
08:26.0,Riddle Of Earth,31
08:45.0,True North,19
08:45.0,Mantra,0
08:46.0,Feint,1
08:52.0,ttsknockback,6
09:25.0,True North,33
09:26.0,Riddle Of Earth,1
10:07.0,True North,41
10:15.0,Mantra,8
10:30.0,Riddle Of Earth,15
10:31.0,Feint,1
11:48.0,Riddle Of Earth,77
11:50.0,True North,2
12:00.0,True North,10
12:00.0,Feint,0
12:45.0,Mantra,45
12:48.0,Riddle Of Earth,3
